domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
portal,brand.radaptor,,ja-JP,Radaptor,Radaptor,0,1,Radaptor
portal,meta.description,,ja-JP,"Radaptor Portal demo","Radaptor Portalデモ",0,0,"Radaptor Portalデモ"
portal,nav.home,,ja-JP,Home,ホーム,0,0,ホーム
portal,nav.comparison,,ja-JP,"Technical Comparison",技術比較,0,0,技術比較
portal,nav.roadmap,,ja-JP,Roadmap,ロードマップ,0,0,ロードマップ
portal,nav.request_access,,ja-JP,"Request Access",アクセスをリクエスト,0,0,アクセスをリクエスト
portal,footer.preview_build,,ja-JP,"Preview build for product positioning, portal UX, and admin workflow demos.",製品ポジショニング、ポータルUX、管理ワークフローのデモ向けプレビュービルド。,0,0,製品ポジショニング、ポータルUX、管理ワークフローのデモ向けプレビュービルド。
portal,hero.badge,,ja-JP,"Widget-driven platform with SDUI-ready composition",SDUI対応の構成を備えたウィジェット駆動プラットフォーム,0,0,SDUI対応の構成を備えたウィジェット駆動プラットフォーム
portal,hero.title.build,,ja-JP,Build,構築する,0,0,構築する
portal,hero.title.widget_driven,,ja-JP,widget-driven,ウィジェット駆動の,0,0,ウィジェット駆動の
portal,hero.title.applications,,ja-JP,applications,アプリケーション,0,0,アプリケーション
portal,hero.title.with,,ja-JP,with,使用:,0,0,使用:
portal,hero.title.line1,,ja-JP,"Build {widgetDriven} applications",{widgetDriven}アプリケーションを構築する,0,0,{widgetDriven}アプリケーションを構築する
portal,hero.title.line2,,ja-JP,"with {radaptor}",{radaptor}で,0,0,{radaptor}で
portal,hero.description,,ja-JP,"Radaptor combines explicit request handling with a renderer-agnostic composition model. Widgets own their render contract, while the CMS aggregates the component tree, resolves routes, and renders HTML today with the same foundation already lined up for SDUI output.",Radaptorは明示的なリクエスト処理とレンダラー非依存の構成モデルを組み合わせます。ウィジェットがレンダー契約を所有し、CMSはコンポーネントツリーを集約し、ルートを解決し、SDUI出力にも備えた同じ基盤で現在HTMLをレンダリングします。,0,0,Radaptorは明示的なリクエスト処理とレンダラー非依存の構成モデルを組み合わせます。ウィジェットがレンダー契約を所有し、CMSはコンポーネントツリーを集約し、ルートを解決し、SDUI出力にも備えた同じ基盤で現在HTMLをレンダリングします。
portal,hero.help,,ja-JP,"Request access when you want to validate the platform with your own workflow and content model.",独自のワークフローとコンテンツモデルでプラットフォームを検証したい場合はアクセスをリクエストしてください。,0,0,独自のワークフローとコンテンツモデルでプラットフォームを検証したい場合はアクセスをリクエストしてください。
portal,value_props.title,,ja-JP,"Designed for explicit product and platform work",明示的なプロダクトとプラットフォーム作業向けに設計,0,0,明示的なプロダクトとプラットフォーム作業向けに設計
