domain,key,context,locale,source_text,expected_text,human_reviewed,text
portal,brand.radaptor,,it_IT,Radaptor,Radaptor,0,Radaptor
portal,meta.description,,it_IT,"Radaptor Portal demo","Demo Radaptor Portal",0,"Demo Radaptor Portal"
portal,nav.home,,it_IT,Home,Home,0,Home
portal,nav.comparison,,it_IT,"Technical Comparison","Confronto tecnico",0,"Confronto tecnico"
portal,nav.request_access,,it_IT,"Request Access","Richiedi accesso",0,"Richiedi accesso"
portal,footer.preview_build,,it_IT,"Preview build for product positioning, portal UX, and admin workflow demos.","Build di anteprima per posizionamento prodotto, UX del portale e demo dei workflow admin.",0,"Build di anteprima per posizionamento prodotto, UX del portale e demo dei workflow admin."
portal,hero.badge,,it_IT,"Widget-driven platform with SDUI-ready composition","Piattaforma guidata da widget con composizione pronta per SDUI",0,"Piattaforma guidata da widget con composizione pronta per SDUI"
portal,hero.title.build,,it_IT,Build,Crea,0,Crea
portal,hero.title.widget_driven,,it_IT,widget-driven,"guidate da widget",0,"guidate da widget"
portal,hero.title.applications,,it_IT,applications,applicazioni,0,applicazioni
portal,hero.title.with,,it_IT,with,con,0,con
portal,hero.title.line1,,it_IT,"Build {widgetDriven} applications","Crea applicazioni {widgetDriven}",0,"Crea applicazioni {widgetDriven}"
portal,hero.title.line2,,it_IT,"with {radaptor}","con {radaptor}",0,"con {radaptor}"
portal,hero.description,,it_IT,"Radaptor combines explicit request handling with a renderer-agnostic composition model. Widgets own their render contract, while the CMS aggregates the component tree, resolves routes, and renders HTML today with the same foundation already lined up for SDUI output.","Radaptor combina gestione esplicita delle richieste con un modello di composizione indipendente dal renderer. I widget possiedono il proprio contratto di rendering, mentre il CMS aggrega l’albero dei componenti, risolve le route e oggi renderizza HTML sulla stessa base già pronta per output SDUI.",0,"Radaptor combina gestione esplicita delle richieste con un modello di composizione indipendente dal renderer. I widget possiedono il proprio contratto di rendering, mentre il CMS aggrega l’albero dei componenti, risolve le route e oggi renderizza HTML sulla stessa base già pronta per output SDUI."
portal,hero.help,,it_IT,"Request access when you want to validate the platform with your own workflow and content model.","Richiedi accesso quando vuoi validare la piattaforma con il tuo workflow e modello di contenuto.",0,"Richiedi accesso quando vuoi validare la piattaforma con il tuo workflow e modello di contenuto."
portal,value_props.title,,it_IT,"Designed for explicit product and platform work","Progettato per lavoro esplicito su prodotto e piattaforma",0,"Progettato per lavoro esplicito su prodotto e piattaforma"
portal,value_props.subtitle,,it_IT,"The same application surface can power public pages, operational tools, admin workflows, and future non-HTML channels without splitting into unrelated stacks.","La stessa superficie applicativa può alimentare pagine pubbliche, strumenti operativi, workflow admin e futuri canali non HTML senza dividersi in stack scollegati.",0,"La stessa superficie applicativa può alimentare pagine pubbliche, strumenti operativi, workflow admin e futuri canali non HTML senza dividersi in stack scollegati."
portal,value_props.item.explicit_request.title,,it_IT,"Explicit request flow","Flusso di richiesta esplicito",0,"Flusso di richiesta esplicito"
portal,value_props.item.explicit_request.description,,it_IT,"Every actionable request resolves to one concrete handler, so authorization and execution stay visible.","Ogni richiesta azionabile si risolve in un handler concreto, quindi autorizzazione ed esecuzione restano visibili.",0,"Ogni richiesta azionabile si risolve in un handler concreto, quindi autorizzazione ed esecuzione restano visibili."
portal,value_props.item.widget_contract.title,,it_IT,"Widget-owned contract","Contratto posseduto dal widget",0,"Contratto posseduto dal widget"
portal,value_props.item.widget_contract.description,,it_IT,"Widgets return explicit tree nodes. The CMS composes pages without taking over the widget internals.","I widget restituiscono nodi d’albero espliciti. Il CMS compone pagine senza prendere il controllo degli interni del widget.",0,"I widget restituiscono nodi d’albero espliciti. Il CMS compone pagine senza prendere il controllo degli interni del widget."
portal,value_props.item.sdui.title,,it_IT,"SDUI built in","SDUI integrato",0,"SDUI integrato"
portal,value_props.item.sdui.description,,it_IT,"HTML is the current renderer, but the same widget tree is already shaped for server-driven UI output as well.","HTML è il renderer attuale, ma lo stesso albero di widget è già strutturato anche per output UI server-driven.",0,"HTML è il renderer attuale, ma lo stesso albero di widget è già strutturato anche per output UI server-driven."
portal,value_props.item.authorization.title,,it_IT,"Authorization stays local","L’autorizzazione resta locale",0,"L’autorizzazione resta locale"
portal,value_props.item.authorization.description,,it_IT,"Role checks live next to the use case instead of being scattered across middleware and helper layers.","I controlli di ruolo vivono accanto allo use case invece di essere sparsi tra middleware e layer helper.",0,"I controlli di ruolo vivono accanto allo use case invece di essere sparsi tra middleware e layer helper."
portal,value_props.item.control_flow.title,,it_IT,"Less hidden control flow","Meno flusso di controllo nascosto",0,"Meno flusso di controllo nascosto"
portal,value_props.item.control_flow.description,,it_IT,"You do not have to trace routing conventions, policy helpers, and controller gravity before finding the actual behavior.","Non devi seguire convenzioni di routing, helper di policy e gravità dei controller prima di trovare il comportamento reale.",0,"Non devi seguire convenzioni di routing, helper di policy e gravità dei controller prima di trovare il comportamento reale."
portal,value_props.item.operational_surface.title,,it_IT,"Lean operational surface","Superficie operativa snella",0,"Superficie operativa snella"
portal,value_props.item.operational_surface.description,,it_IT,"The same app can expose product pages, admin screens, browser-event docs, import/export tools, and internal widgets.","La stessa app può esporre pagine prodotto, schermate admin, documentazione eventi browser, strumenti import/export e widget interni.",0,"La stessa app può esporre pagine prodotto, schermate admin, documentazione eventi browser, strumenti import/export e widget interni."
portal,access.badge,,it_IT,"Early access","Accesso anticipato",0,"Accesso anticipato"
portal,access.form_title,,it_IT,"Request early access","Richiedi accesso anticipato",0,"Richiedi accesso anticipato"
portal,access.form_intro,,it_IT,"Send us the email address you want to use for early access to the Radaptor Platform. We will ask you to confirm it before we treat the request as real.","Inviaci l’indirizzo email da usare per l’accesso anticipato a Radaptor Platform. Ti chiederemo di confermarlo prima di considerare reale la richiesta.",0,"Inviaci l’indirizzo email da usare per l’accesso anticipato a Radaptor Platform. Ti chiederemo di confermarlo prima di considerare reale la richiesta."
portal,access.form_scope,,it_IT,"We use this page only for access requests and platform follow-up, not as a general product login entry point.","Usiamo questa pagina solo per richieste di accesso e follow-up della piattaforma, non come punto di login generale del prodotto.",0,"Usiamo questa pagina solo per richieste di accesso e follow-up della piattaforma, non come punto di login generale del prodotto."
portal,access.email_label,,it_IT,"Email address","Indirizzo email",0,"Indirizzo email"
portal,access.updates_label,,it_IT,"Keep me posted about Radaptor Platform updates as well.","Tienimi aggiornato anche sugli aggiornamenti di Radaptor Platform.",0,"Tienimi aggiornato anche sugli aggiornamenti di Radaptor Platform."
portal,access.submit,,it_IT,"Request access","Richiedi accesso",0,"Richiedi accesso"
portal,access.confirm_note,,it_IT,"We will only accept the request after you confirm the email address from the message we send you.","Accetteremo la richiesta solo dopo la conferma dell’indirizzo email dal messaggio inviato.",0,"Accetteremo la richiesta solo dopo la conferma dell’indirizzo email dal messaggio inviato."
portal,access.confirmed_heading,,it_IT,"Confirmed for follow-up","Confermato per il follow-up",0,"Confermato per il follow-up"
portal,access.waiting_heading,,it_IT,"Waiting for confirmation","In attesa di conferma",0,"In attesa di conferma"
portal,access.confirmed_note,,it_IT,"There is nothing else you need to do right now. We will contact this address when we are ready to move you into the next platform-access step.","Al momento non devi fare altro. Contatteremo questo indirizzo quando saremo pronti per il prossimo passaggio di accesso.",0,"Al momento non devi fare altro. Contatteremo questo indirizzo quando saremo pronti per il prossimo passaggio di accesso."
portal,access.waiting_note,,it_IT,"The request is waiting on the confirmation email. After you click that link, your address is marked as confirmed and the request is complete.","La richiesta attende l’email di conferma. Dopo il clic sul link, il tuo indirizzo sarà confermato e la richiesta completa.",0,"La richiesta attende l’email di conferma. Dopo il clic sul link, il tuo indirizzo sarà confermato e la richiesta completa."
portal,access.scope_note,,it_IT,"This page is only for early-access requests and follow-up confirmation.","Questa pagina è solo per richieste di accesso anticipato e conferme successive.",0,"Questa pagina è solo per richieste di accesso anticipato e conferme successive."
portal,access.state.submitted.title,,it_IT,"Check your inbox","Controlla la posta in arrivo",0,"Controlla la posta in arrivo"
portal,access.state.submitted.body,,it_IT,"If the address can receive early-access requests, we just sent a confirmation link. Once you confirm it, the request is complete.","Se l’indirizzo può ricevere richieste di accesso anticipato, abbiamo appena inviato un link di conferma. Dopo la conferma, la richiesta è completa.",0,"Se l’indirizzo può ricevere richieste di accesso anticipato, abbiamo appena inviato un link di conferma. Dopo la conferma, la richiesta è completa."
portal,access.state.confirmed.title,,it_IT,"Your request is confirmed","La tua richiesta è confermata",0,"La tua richiesta è confermata"
portal,access.state.confirmed.body,,it_IT,"Thanks. Your email address is confirmed and your early-access request is now on file. We will reach out at this address when the next access step is ready.","Grazie. Il tuo indirizzo email è confermato e la richiesta di accesso anticipato è registrata. Ti contatteremo qui quando il prossimo passaggio sarà pronto.",0,"Grazie. Il tuo indirizzo email è confermato e la richiesta di accesso anticipato è registrata. Ti contatteremo qui quando il prossimo passaggio sarà pronto."
portal,access.state.expired.title,,it_IT,"That confirmation link expired","Quel link di conferma è scaduto",0,"Quel link di conferma è scaduto"
portal,access.state.expired.body,,it_IT,"Submit the form again and we will send you a fresh confirmation email.","Invia di nuovo il modulo e ti invieremo una nuova email di conferma.",0,"Invia di nuovo il modulo e ti invieremo una nuova email di conferma."
portal,access.state.invalid.title,,it_IT,"That confirmation link is not valid","Quel link di conferma non è valido",0,"Quel link di conferma non è valido"
