domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
portal,brand.radaptor,,pt-BR,Radaptor,Radaptor,0,1,Radaptor
portal,meta.description,,pt-BR,"Radaptor Portal demo","Demo do Radaptor Portal",0,0,"Demo do Radaptor Portal"
portal,nav.home,,pt-BR,Home,Início,0,0,Início
portal,nav.comparison,,pt-BR,"Technical Comparison","Comparação técnica",0,0,"Comparação técnica"
portal,nav.roadmap,,pt-BR,Roadmap,Roteiro,0,0,Roteiro
portal,nav.request_access,,pt-BR,"Request Access","Solicitar acesso",0,0,"Solicitar acesso"
portal,footer.preview_build,,pt-BR,"Preview build for product positioning, portal UX, and admin workflow demos.","Build de prévia para posicionamento de produto, UX do portal e demos de fluxos administrativos.",0,0,"Build de prévia para posicionamento de produto, UX do portal e demos de fluxos administrativos."
portal,hero.badge,,pt-BR,"Widget-driven platform with SDUI-ready composition","Plataforma guiada por widgets com composição pronta para SDUI",0,0,"Plataforma guiada por widgets com composição pronta para SDUI"
portal,hero.title.build,,pt-BR,Build,Crie,0,0,Crie
portal,hero.title.widget_driven,,pt-BR,widget-driven,"guiadas por widgets",0,0,"guiadas por widgets"
portal,hero.title.applications,,pt-BR,applications,aplicações,0,0,aplicações
portal,hero.title.with,,pt-BR,with,com,0,0,com
portal,hero.title.line1,,pt-BR,"Build {widgetDriven} applications","Crie aplicações {widgetDriven}",0,0,"Crie aplicações {widgetDriven}"
portal,hero.title.line2,,pt-BR,"with {radaptor}","com {radaptor}",0,0,"com {radaptor}"
portal,hero.description,,pt-BR,"Radaptor combines explicit request handling with a renderer-agnostic composition model. Widgets own their render contract, while the CMS aggregates the component tree, resolves routes, and renders HTML today with the same foundation already lined up for SDUI output.","Radaptor combina tratamento explícito de requisições com um modelo de composição agnóstico ao renderizador. Os widgets são donos do contrato de renderização, enquanto o CMS agrega a árvore de componentes, resolve rotas e hoje renderiza HTML sobre a mesma base já preparada para saída SDUI.",0,0,"Radaptor combina tratamento explícito de requisições com um modelo de composição agnóstico ao renderizador. Os widgets são donos do contrato de renderização, enquanto o CMS agrega a árvore de componentes, resolve rotas e hoje renderiza HTML sobre a mesma base já preparada para saída SDUI."
portal,hero.help,,pt-BR,"Request access when you want to validate the platform with your own workflow and content model.","Solicite acesso quando quiser validar a plataforma com seu próprio fluxo e modelo de conteúdo.",0,0,"Solicite acesso quando quiser validar a plataforma com seu próprio fluxo e modelo de conteúdo."
portal,value_props.title,,pt-BR,"Designed for explicit product and platform work","Projetado para trabalho explícito de produto e plataforma",0,0,"Projetado para trabalho explícito de produto e plataforma"
portal,value_props.subtitle,,pt-BR,"The same application surface can power public pages, operational tools, admin workflows, and future non-HTML channels without splitting into unrelated stacks.","A mesma superfície de aplicação pode sustentar páginas públicas, ferramentas operacionais, fluxos administrativos e futuros canais não HTML sem se dividir em stacks desconectados.",0,0,"A mesma superfície de aplicação pode sustentar páginas públicas, ferramentas operacionais, fluxos administrativos e futuros canais não HTML sem se dividir em stacks desconectados."
portal,value_props.item.explicit_request.title,,pt-BR,"Explicit request flow","Fluxo explícito de requisição",0,0,"Fluxo explícito de requisição"
portal,value_props.item.explicit_request.description,,pt-BR,"Every actionable request resolves to one concrete handler, so authorization and execution stay visible.","Cada requisição acionável resolve para um handler concreto, mantendo autorização e execução visíveis.",0,0,"Cada requisição acionável resolve para um handler concreto, mantendo autorização e execução visíveis."
portal,value_props.item.widget_contract.title,,pt-BR,"Widget-owned contract","Contrato do próprio widget",0,0,"Contrato do próprio widget"
portal,value_props.item.widget_contract.description,,pt-BR,"Widgets return explicit tree nodes. The CMS composes pages without taking over the widget internals.","Widgets retornam nós de árvore explícitos. O CMS compõe páginas sem assumir os detalhes internos do widget.",0,0,"Widgets retornam nós de árvore explícitos. O CMS compõe páginas sem assumir os detalhes internos do widget."
portal,value_props.item.sdui.title,,pt-BR,"SDUI built in","SDUI integrado",0,0,"SDUI integrado"
portal,value_props.item.sdui.description,,pt-BR,"HTML is the current renderer, but the same widget tree is already shaped for server-driven UI output as well.","HTML é o renderizador atual, mas a mesma árvore de widgets já está moldada também para saída de UI server-driven.",0,0,"HTML é o renderizador atual, mas a mesma árvore de widgets já está moldada também para saída de UI server-driven."
portal,value_props.item.authorization.title,,pt-BR,"Authorization stays local","Autorização fica local",0,0,"Autorização fica local"
portal,value_props.item.authorization.description,,pt-BR,"Role checks live next to the use case instead of being scattered across middleware and helper layers.","Checks de papel ficam junto ao caso de uso, em vez de espalhados por middleware e camadas helper.",0,0,"Checks de papel ficam junto ao caso de uso, em vez de espalhados por middleware e camadas helper."
portal,value_props.item.control_flow.title,,pt-BR,"Less hidden control flow","Menos fluxo de controle oculto",0,0,"Menos fluxo de controle oculto"
portal,value_props.item.control_flow.description,,pt-BR,"You do not have to trace routing conventions, policy helpers, and controller gravity before finding the actual behavior.","Você não precisa rastrear convenções de roteamento, helpers de política e gravidade de controllers antes de achar o comportamento real.",0,0,"Você não precisa rastrear convenções de roteamento, helpers de política e gravidade de controllers antes de achar o comportamento real."
portal,value_props.item.operational_surface.title,,pt-BR,"Lean operational surface","Superfície operacional enxuta",0,0,"Superfície operacional enxuta"
portal,value_props.item.operational_surface.description,,pt-BR,"The same app can expose product pages, admin screens, browser-event docs, import/export tools, and internal widgets.","O mesmo app pode expor páginas de produto, telas admin, docs de eventos do navegador, ferramentas de import/export e widgets internos.",0,0,"O mesmo app pode expor páginas de produto, telas admin, docs de eventos do navegador, ferramentas de import/export e widgets internos."
portal,access.badge,,pt-BR,"Early access","Acesso antecipado",0,0,"Acesso antecipado"
portal,access.form_title,,pt-BR,"Request early access","Solicitar acesso antecipado",0,0,"Solicitar acesso antecipado"
portal,access.form_intro,,pt-BR,"Send us the email address you want to use for early access to the Radaptor Platform. We will ask you to confirm it before we treat the request as real.","Envie o email que deseja usar para acesso antecipado à Radaptor Platform. Pediremos confirmação antes de tratar a solicitação como real.",0,0,"Envie o email que deseja usar para acesso antecipado à Radaptor Platform. Pediremos confirmação antes de tratar a solicitação como real."
portal,access.form_scope,,pt-BR,"We use this page only for access requests and platform follow-up, not as a general product login entry point.","Usamos esta página apenas para solicitações de acesso e follow-up da plataforma, não como login geral do produto.",0,0,"Usamos esta página apenas para solicitações de acesso e follow-up da plataforma, não como login geral do produto."
portal,access.email_label,,pt-BR,"Email address","Endereço de email",0,0,"Endereço de email"
portal,access.updates_label,,pt-BR,"Keep me posted about Radaptor Platform updates as well.","Também quero receber novidades da Radaptor Platform.",0,0,"Também quero receber novidades da Radaptor Platform."
portal,access.submit,,pt-BR,"Request access","Solicitar acesso",0,0,"Solicitar acesso"
portal,access.confirm_note,,pt-BR,"We will only accept the request after you confirm the email address from the message we send you.","Só aceitaremos a solicitação depois que você confirmar o email na mensagem enviada.",0,0,"Só aceitaremos a solicitação depois que você confirmar o email na mensagem enviada."
portal,access.confirmed_heading,,pt-BR,"Confirmed for follow-up","Confirmado para follow-up",0,0,"Confirmado para follow-up"
portal,access.waiting_heading,,pt-BR,"Waiting for confirmation","Aguardando confirmação",0,0,"Aguardando confirmação"
portal,access.confirmed_note,,pt-BR,"There is nothing else you need to do right now. We will contact this address when we are ready to move you into the next platform-access step.","Você não precisa fazer mais nada agora. Entraremos em contato por este endereço quando o próximo passo de acesso estiver pronto.",0,0,"Você não precisa fazer mais nada agora. Entraremos em contato por este endereço quando o próximo passo de acesso estiver pronto."
