domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
portal,brand.radaptor,,zh-Hans-CN,Radaptor,Radaptor,0,1,Radaptor
portal,meta.description,,zh-Hans-CN,"Radaptor Portal demo","Radaptor Portal 演示",0,0,"Radaptor Portal 演示"
portal,nav.home,,zh-Hans-CN,Home,首页,0,0,首页
portal,nav.comparison,,zh-Hans-CN,"Technical Comparison",技术比较,0,0,技术比较
portal,nav.roadmap,,zh-Hans-CN,Roadmap,路线图,0,0,路线图
portal,nav.request_access,,zh-Hans-CN,"Request Access",请求访问,0,0,请求访问
portal,footer.preview_build,,zh-Hans-CN,"Preview build for product positioning, portal UX, and admin workflow demos.","用于产品定位、门户 UX 和管理工作流演示的预览构建。",0,0,"用于产品定位、门户 UX 和管理工作流演示的预览构建。"
portal,hero.badge,,zh-Hans-CN,"Widget-driven platform with SDUI-ready composition","具备 SDUI 就绪组合能力的组件驱动平台",0,0,"具备 SDUI 就绪组合能力的组件驱动平台"
portal,hero.title.build,,zh-Hans-CN,Build,构建,0,0,构建
portal,hero.title.widget_driven,,zh-Hans-CN,widget-driven,组件驱动的,0,0,组件驱动的
portal,hero.title.applications,,zh-Hans-CN,applications,应用,0,0,应用
portal,hero.title.with,,zh-Hans-CN,with,使用,0,0,使用
portal,hero.title.line1,,zh-Hans-CN,"Build {widgetDriven} applications",构建{widgetDriven}应用,0,0,构建{widgetDriven}应用
portal,hero.title.line2,,zh-Hans-CN,"with {radaptor}","使用 {radaptor}",0,0,"使用 {radaptor}"
portal,hero.description,,zh-Hans-CN,"Radaptor combines explicit request handling with a renderer-agnostic composition model. Widgets own their render contract, while the CMS aggregates the component tree, resolves routes, and renders HTML today with the same foundation already lined up for SDUI output.","Radaptor 将显式请求处理与渲染器无关的组合模型结合起来。组件拥有自己的渲染契约，CMS 聚合组件树、解析路由，并在同一基础上渲染当下的 HTML，同时该基础已为 SDUI 输出做好准备。",0,0,"Radaptor 将显式请求处理与渲染器无关的组合模型结合起来。组件拥有自己的渲染契约，CMS 聚合组件树、解析路由，并在同一基础上渲染当下的 HTML，同时该基础已为 SDUI 输出做好准备。"
portal,hero.help,,zh-Hans-CN,"Request access when you want to validate the platform with your own workflow and content model.",当你想用自己的工作流和内容模型验证平台时，请请求访问。,0,0,当你想用自己的工作流和内容模型验证平台时，请请求访问。
portal,value_props.title,,zh-Hans-CN,"Designed for explicit product and platform work",为明确的产品和平台工作而设计,0,0,为明确的产品和平台工作而设计
portal,value_props.subtitle,,zh-Hans-CN,"The same application surface can power public pages, operational tools, admin workflows, and future non-HTML channels without splitting into unrelated stacks.","同一应用表面可以驱动公开页面、运营工具、管理工作流和未来的非 HTML 渠道，而无需拆分成彼此无关的技术栈。",0,0,"同一应用表面可以驱动公开页面、运营工具、管理工作流和未来的非 HTML 渠道，而无需拆分成彼此无关的技术栈。"
portal,value_props.item.explicit_request.title,,zh-Hans-CN,"Explicit request flow",显式请求流,0,0,显式请求流
portal,value_props.item.explicit_request.description,,zh-Hans-CN,"Every actionable request resolves to one concrete handler, so authorization and execution stay visible.",每个可执行请求都会解析到一个具体处理器，因此授权和执行保持可见。,0,0,每个可执行请求都会解析到一个具体处理器，因此授权和执行保持可见。
portal,value_props.item.widget_contract.title,,zh-Hans-CN,"Widget-owned contract",组件拥有的契约,0,0,组件拥有的契约
portal,value_props.item.widget_contract.description,,zh-Hans-CN,"Widgets return explicit tree nodes. The CMS composes pages without taking over the widget internals.","组件返回显式树节点。CMS 组合页面时不会接管组件内部。",0,0,"组件返回显式树节点。CMS 组合页面时不会接管组件内部。"
portal,value_props.item.sdui.title,,zh-Hans-CN,"SDUI built in","内置 SDUI",0,0,"内置 SDUI"
portal,value_props.item.sdui.description,,zh-Hans-CN,"HTML is the current renderer, but the same widget tree is already shaped for server-driven UI output as well.","HTML 是当前渲染器，但同一组件树也已经适配服务器驱动 UI 输出。",0,0,"HTML 是当前渲染器，但同一组件树也已经适配服务器驱动 UI 输出。"
portal,value_props.item.authorization.title,,zh-Hans-CN,"Authorization stays local",授权保持本地,0,0,授权保持本地
portal,value_props.item.authorization.description,,zh-Hans-CN,"Role checks live next to the use case instead of being scattered across middleware and helper layers.",角色检查位于用例旁边，而不是分散在中间件和辅助层中。,0,0,角色检查位于用例旁边，而不是分散在中间件和辅助层中。
portal,value_props.item.control_flow.title,,zh-Hans-CN,"Less hidden control flow",更少隐藏控制流,0,0,更少隐藏控制流
portal,value_props.item.control_flow.description,,zh-Hans-CN,"You do not have to trace routing conventions, policy helpers, and controller gravity before finding the actual behavior.",在找到实际行为之前，你无需追踪路由约定、策略辅助函数和控制器惯性。,0,0,在找到实际行为之前，你无需追踪路由约定、策略辅助函数和控制器惯性。
portal,value_props.item.operational_surface.title,,zh-Hans-CN,"Lean operational surface",精简的运营表面,0,0,精简的运营表面
portal,value_props.item.operational_surface.description,,zh-Hans-CN,"The same app can expose product pages, admin screens, browser-event docs, import/export tools, and internal widgets.",同一应用可以提供产品页面、管理屏幕、浏览器事件文档、导入/导出工具和内部组件。,0,0,同一应用可以提供产品页面、管理屏幕、浏览器事件文档、导入/导出工具和内部组件。
portal,access.badge,,zh-Hans-CN,"Early access",早期访问,0,0,早期访问
portal,access.form_title,,zh-Hans-CN,"Request early access",请求早期访问,0,0,请求早期访问
portal,access.form_intro,,zh-Hans-CN,"Send us the email address you want to use for early access to the Radaptor Platform. We will ask you to confirm it before we treat the request as real.","请发送你想用于 Radaptor Platform 早期访问的邮箱地址。在我们将请求视为真实请求之前，会要求你确认。",0,0,"请发送你想用于 Radaptor Platform 早期访问的邮箱地址。在我们将请求视为真实请求之前，会要求你确认。"
portal,access.form_scope,,zh-Hans-CN,"We use this page only for access requests and platform follow-up, not as a general product login entry point.",此页面仅用于访问请求和平台后续联系，不作为通用产品登录入口。,0,0,此页面仅用于访问请求和平台后续联系，不作为通用产品登录入口。
portal,access.email_label,,zh-Hans-CN,"Email address",邮箱地址,0,0,邮箱地址
portal,access.updates_label,,zh-Hans-CN,"Keep me posted about Radaptor Platform updates as well.","也请通知我 Radaptor Platform 的更新。",0,0,"也请通知我 Radaptor Platform 的更新。"
portal,access.submit,,zh-Hans-CN,"Request access",请求访问,0,0,请求访问
portal,access.confirm_note,,zh-Hans-CN,"We will only accept the request after you confirm the email address from the message we send you.",只有在你通过我们发送的消息确认邮箱地址后，我们才会接受请求。,0,0,只有在你通过我们发送的消息确认邮箱地址后，我们才会接受请求。
portal,access.confirmed_heading,,zh-Hans-CN,"Confirmed for follow-up",已确认后续联系,0,0,已确认后续联系
portal,access.waiting_heading,,zh-Hans-CN,"Waiting for confirmation",等待确认,0,0,等待确认
